iter	Passed	Remaining
692	1563	692
693	1564	689
694	1565	687
695	1566	684
696	1568	681
697	1570	679
698	1573	677
699	1574	674
700	1576	672
701	1577	669
702	1578	667
703	1580	664
704	1581	661
705	1582	659
706	1586	657
707	1588	655
708	1590	652
709	1591	650
710	1593	647
711	1594	644
712	1595	642
713	1596	639
714	1598	637
715	1600	634
716	1603	632
717	1605	630
718	1606	628
719	1608	625
720	1609	622
721	1610	620
722	1611	617
723	1613	614
724	1615	612
725	1617	610
726	1619	608
727	1621	605
728	1623	603
729	1625	601
730	1626	598
731	1628	596
732	1630	594
733	1632	591
734	1634	589
735	1635	586
736	1637	584
737	1638	581
738	1639	579
739	1640	576
740	1642	573
741	1644	571
742	1646	569
743	1648	567
744	1649	564
745	1651	562
746	1652	559
747	1653	557
748	1655	554
749	1656	552
750	1658	550
751	1662	548
752	1664	545
753	1666	543
754	1667	541
755	1669	538
756	1670	536
757	1671	533
758	1674	531
759	1677	529
760	1678	527
761	1680	524
762	1681	522
763	1682	519
764	1683	517
765	1685	514
766	1686	512
767	1688	510
768	1691	508
769	1693	505
770	1695	503
771	1696	501
772	1697	498
773	1698	496
774	1700	493
775	1702	491
776	1704	489
777	1706	486
778	1707	484
779	1709	482
780	1710	479
781	1712	477
782	1713	474
783	1714	472
784	1717	470
785	1719	468
786	1721	465
787	1722	463
788	1724	461
789	1725	458
790	1726	456
791	1727	453
792	1729	451
793	1731	449
794	1735	447
795	1737	445
796	1738	442
797	1740	440
798	1741	438
799	1743	435
800	1744	433
801	1746	431
802	1751	429
803	1754	427
804	1756	425
805	1758	423
806	1760	421
807	1764	419
808	1766	417
809	1768	414
810	1770	412
811	1771	410
812	1776	408
813	1779	406
814	1782	404
815	1783	402
816	1786	400
817	1793	399
818	1797	397
819	1799	394
820	1801	392
821	1803	390
822	1810	389
823	1814	387
824	1816	385
825	1817	382
826	1819	380
827	1827	379
828	1829	377
829	1831	375
830	1833	372
831	1835	370
832	1845	369
833	1847	367
834	1848	365
835	1850	363
836	1854	361
837	1856	358
838	1860	356
839	1862	354
840	1864	352
841	1865	350
842	1868	347
843	1872	346
844	1874	343
845	1875	341
846	1877	339
847	1878	336
848	1880	334
849	1888	333
850	1890	330
851	1891	328
852	1892	326
853	1893	323
854	1895	321
855	1897	319
856	1900	317
857	1901	314
858	1903	312
859	1905	310
860	1907	307
861	1909	305
862	1910	303
863	1914	301
864	1916	299
865	1918	296
866	1919	294
867	1921	292
868	1922	289
869	1924	287
870	1926	285
871	1928	283
872	1930	280
873	1932	278
874	1934	276
875	1935	274
876	1937	271
877	1938	269
878	1940	267
879	1943	265
880	1945	262
881	1946	260
882	1947	258
883	1948	255
884	1950	253
885	1951	251
886	1952	248
887	1953	246
888	1955	244
889	1958	242
890	1959	239
891	1961	237
892	1962	235
893	1963	232
894	1965	230
895	1966	228
896	1967	225
897	1969	223
898	1971	221
899	1973	219
900	1975	217
901	1976	214
902	1977	212
903	1978	210
904	1980	207
905	1981	205
906	1982	203
907	1983	201
908	1988	199
909	1989	196
910	1991	194
911	1992	192
912	1996	190
913	1997	187
914	1999	185
915	2001	183
916	2003	181
917	2006	179
918	2009	177
919	2010	174
920	2011	172
921	2013	170
922	2014	168
923	2017	165
924	2019	163
925	2020	161
926	2021	159
927	2023	156
928	2024	154
929	2025	152
930	2027	150
931	2028	147
932	2030	145
933	2032	143
934	2033	141
935	2035	139
936	2036	136
937	2038	134
938	2039	132
939	2040	130
940	2042	128
941	2043	125
942	2045	123
943	2047	121
944	2049	119
945	2050	117
946	2051	114
947	2052	112
948	2054	110
949	2055	108
950	2056	105
951	2058	103
952	2060	101
953	2062	99
954	2063	97
955	2064	95
956	2066	92
957	2067	90
958	2068	88
959	2069	86
960	2071	84
961	2072	81
962	2073	79
963	2076	77
964	2077	75
965	2078	73
966	2080	70
967	2081	68
968	2082	66
969	2083	64
970	2085	62
971	2086	60
972	2087	57
973	2090	55
974	2092	53
975	2093	51
976	2094	49
977	2096	47
978	2097	44
979	2098	42
980	2099	40
981	2101	38
982	2102	36
983	2105	34
984	2108	32
985	2109	29
986	2111	27
987	2113	25
988	2114	23
989	2116	21
990	2118	19
991	2120	17
992	2121	14
993	2123	12
994	2124	10
995	2125	8
996	2127	6
997	2128	4
998	2129	2
999	2130	0
